,comment
4946,cut in 1/2-inch rounds
4947,in 1/2-inch dice
4948,"caps or 1/2 pound porcini mushrooms, stems cut off, cut into 1-inch pieces"
4949,plus extra for greasing parchment
4950,blanched and peeled
4951,"4 8-ounce skinless and boneless halves, cut into 1-inch cubes"
4952,defrosted
4953,"firm, ripe bosc (about 2 pounds), peeled, quartered, cored and cut into 1-inch wedges"
4954,thinly sliced on the diagonal (1/2 cup)
4955,"medium (about 11 ounces each), wingtips removed"
4956,"firm, ripe bosc (about 1 1/2 pounds), peeled, halved and cored"
4957,homemade or canned
4958,"fresh italian, washed and dried"
4959,1 1-pound box
4960,wide (do not use instant)
4961,dried porcini
4962,"1 14 1/2-oz. can italian plum, drained and coarsely chopped"
4963,"preferably cremini, cleaned and coarsely chopped"
4964,"fresh, preferably antica pasteria"
4965,1 15-ounce container ricotta
4966,"fresh, leaves only, washed and dried"
4967,"italian, a mix of hot and sweet"
4968,2 28-ounce cans italian plum
4969,"good, preferably italian"
4970,"medium red, finely diced"
4971,peeled and chopped fresh ripe
4972,finely chopped or celery
4973,"with skin on, about 6 ounces each (red snapper fillets may be substituted)"
4974,or other anise-flavored liqueur
4975,"cooked, cooled"
4976,basil-flavored
4977,a few grinds
4978,"dried, seeded"
4979,"boned, trimmed of excess fat and tied (about 5 pounds)"
4980,1/2-inch cubes
4981,pureed (available canned)
4982,1/2-inch chunks fresh
4983,"medium, shells on"
4984,chopped and stewed
4985,crusty for dipping
4986,"large tiger (about 1 pound), shelled, deveined and slit length-wise"
4987,each 1 inch by 2 inch
4988,"thickly cut smoked, halved crosswise"
4989,"small or medium, shelled"
4990,freshly ground meat or ground leftover cooked turkey
4991,ripe or 4 cups imported crushed
4992,"large, peeled, cored, thinly sliced, about 1 1/2 cups"
4993,1 15-ounce package refrigerated
4994,or orange juice
4995,heavy
4996,"all-purpose, unbleached"
4997,for preparing the pans
4998,"jar roasted, drained, chopped"
4999,"cut into 1/4-inch cubes, 2 cups"
5000,lean ground or turkey
5001,(1/3 cup) crumbled
5002,"9-ounce frozen chopped in a pouch, thawed, well drained"
5003,all-purpose or unbleached
5004,dairy
5005,"fresh or frozen, thawed, drained on paper towels"
5006,"hard-boiled, peeled, at room temperature"
5007,cut in very small cubes
5008,steamed or mandarin pancakes
5009,plum or duck
5010,"cooked, cut into matchstick-size shreds"
5011,"fresh, rinsed lightly and drained"
5012,"medium-size raw, shelled"
5013,smashed lightly with the flat side of a cleaver
5014,or lumpia skins
5015,"coarsely chopped dry, roasted"
5016,safflower or corn
5017,"thinly sliced, blanched briefly in boiling water, rinsed in cold water and drained"
5018,"dried chinese, softened in hot water, stems removed and caps shredded"
5019,"chinese or scallion greens, cut into 1-inch sections"
5020,shredded chinese or napa
5021,boneless center-cut
5022,self-rising
5023,"pitted, coarsely chopped"
5024,about hot (1/2 cup cold water if using margarine)
5025,"(8 ounces), coarsely chopped (much preferred), or (ho-hum) unsalted margarine (2 sticks), placed in the freezer overnight, and cut into small chunks"
5026,"(or as many as you want), shucked"
5027,(much preferred) or (ho-hum) mildly flavored olive oil
5028,"stalks peeled and diced, florets separated"
5029,cut into 1-inch cubes
5030,tough outer green leaves removed and thinly sliced
5031,"optional, most bars don't do this"
5032,one pound or more
5033,"navel, peeled"
5034,"boneless chops, 1 to 1 1/2 pounds"
5035,dough for (see butter-and-shortening pastry dough recipe)
5036,"peeled, cored and finely chopped"
5037,"pitted, chopped"
5038,salt
5039,maple
5040,silken
5041,low-fat is o.k.!
5042,pitted soft like medjool
5043,drained soft or silken
5044,favorite
5045,fresh or a vinegar you like
5046,seeds from
5047,sliced in half lengthwise
5048,1 container (about 15 ounces drained) soft
5049,ground fine
5050,peanut or other favorite cooking
5051,"large, trimmed, quartered lengthwise and cut crosswise into 1/4-inch-thick slices (use both white and tender green portions)"
5052,cooked
5053,homemade or from bouillon granules or cubes
5054,ground toasted sichuan
5055,"pitted, sliced"
5056,"ripe plum, cored, peeled and cut into small cubes"
5057,fresh or teaspoon 1 dried
5058,"about 3 inches in diameter, total weight 1 1/4 pounds"
5059,fillet of
5060,cut into small cubes
5061,4 packets (1 ounce) powdered
5062,or pernod
5063,de provence
5064,"pitted, halved"
5065,center-cut
5066,very finely ground blanched
5067,"medium-size ripe, diced"
5068,"medium-size, finely diced"
5069,coarsely grated unpeeled
5070,tiny new
5071,"1 4 1/2 pound, boned"
5072,pieces (smack a whole nutmeg with a hammer)
5073,4 6-ounce fillets
5074,"like corn or grapeseed, if necessary"
5075,1 3-inch
5076,seeds removed and hulls discarded (see note)
5077,"fillet, skin removed, cut into 4 equal pieces"
5078,fresh plus 2 whole sprigs
5079,"large, cored and seeded, cut into 1-inch pieces"
5080,a small
5081,"(3 medium) yukon gold, peeled"
5082,1 35-ounce can
5083,"medium-size, pureed"
5084,"chicken, beef or vegetable"
5085,"fresh ripe, thinly sliced"
5086,"large red or yellow sweet, coarsely chopped"
5087,"ground (lamb, pork, turkey, chicken, beef or a combination)"
5088,"(kousa) or zucchini, sliced lengthwise 1/4-inch thick"
5089,"large yellow, peeled very thinly sliced"
5090,plus 2 more lemons
5091,very finely minced 1 teaspoon ground cumin
5092,"hefty, peeled, sliced lengthwise about 1/4-inch thick"
5093,"large yellow, cubed or thinly sliced"
5094,extra virgin (see note below)
5095,"zested, each 1/2-inch wide by 2 inches long"
5096,warm clarified
5097,"1 one-pound package frozen, defrosted"
5098,(4 ounces) slivered
5099,(8 ounces) skinned
5100,"zest, each 1/2-inch wide by 2 inches long"
5101,"1 one pound package frozen, defrosted"
5102,"sifted, more for dusting"
5103,for greasing baking sheets
5104,"clarified, melted"
5105,more for dusting
5106,(12 ounces) slivered
5107,"(10 ounces) blanched, slivered"
5108,(or bread crumbs)
5109,"fresh or sour, optional"
5110,in 1-inch chunks
5111,belgian
5112,"medium, peeled and cut into 2-inch lengths"
5113,"shiitake, stems removed, or thick slices of portobello"
5114,yuzu or lemon
5115,minced flatleaf
5116,"fresh, cleaned, or four 10-ounce packages frozen chopped spinach"
5117,cooked or cooked orzo
5118,ground lean
5119,"small, about a pound"
5120,(4 to 5 pounds) crown roast of
5121,red-dyed hard-boiled for decoration
5122,beaten for topping
5123,for greasing bowl and pan
5124,for topping
5125,or 1/2 teaspoon vanilla extract
5126,scalded and cooled
5127,small peeled
5128,plus 3 1/2 to 4 cups sifted
5129,wagon wheel
5130,halves (not marinated)
5131,very hot tap
5132,whole or 7 ounces chopped (ready-cut) onion
5133,"good-quality, toasted"
5134,seasoned soft-cooked
5135,"from the breast, about 1/3 pound each"
5136,fontina or gruyere
5137,coarsely chopped fresh or italian parsley
5138,prepared grainy
5139,"slender, sliced on diagonal to 1-inch lengths"
5140,"1/2-inch, fresh, peeled, grated fine"
5141,"whole, or 1/2 teaspoon black mustard seeds"
5142,or clarified butter
5143,softened for toast
5144,"small whole, peeled"
5145,"large russet, peeled and cut into 1-inch chunks"
5146,"extra large fresh, very cold (see note)"
5147,homemade or fresh bakery
5148,peeled and cut in 1-inch rounds
5149,or finely chopped nuts for topping
5150,boiling salted
5151,additional
5152,"(1 to 1 1/2 sticks), melted"
5153,for greasing dish and foil
5154,(any kind) or water
5155,pared or grated zest of just under
5156,shaved with a vegetable peeler
5157,"or other cut of steak, 1 1/2 to 2 inches thick, at room temperature"
5158,or other vermouth or white wine
5159,dried or 1/4 teaspoon hot red pepper flakes
5160,"dark whole or other hearty bread, for serving"
5161,"littleneck or other small in the shell, scrubbed"
5162,"medium, peeled and cut into 1/2-inch dice"
5163,1 28-ounce can diced with their juice
5164,"medium, cut into 1/2- inch dice"
5165,"small, peeled and cut into 1/2-inch dice"
5166,"medium, chopped into 1/2-inch pieces"
5167,or 3 tablespoons butter and 3 tablespoons olive oil
5168,"freshly ground, plus additional"
5169,kosher plus additional
5170,"fresh, tied with kitchen string"
5171,"fully cooked such as french garlic sausage (see note), sliced 1 1/4-inch thick"
5172,"peeled; 1 finely chopped, 1 halved"
5173,"or sour cream, for serving (optional)"
5174,"golden delicious, peeled and cored"
5175,"coarse, for sprinkling"
5176,grated (about 3 ounces)
5177,"yolk, slightly beaten"
5178,"(1 1/2 sticks), chilled and cubed"
5179,"medium, peeled, halved and thinly sliced"
5180,"(sugar or cheese, for example) or butternut squash, peeled, seeded and cubed"
5181,nonfat or low-fat plain
5182,"very large, about a pound, finely chopped"
5183,trimmed of all fat and cut into cubes
5184,day-old good
5185,"fruity, like a young brunello, pinot noir, or chianti"
5186,grated or other hard cheese for garnish chopped fresh parsley leaves for garnish
5187,removed from the shell
5188,extra virgin as needed
5189,"grated, like gruyère de comté, or emmenthaler"
5190,half-and-half or milk
5191,plus 2 yolks
5192,"jalapeño or other fresh, stemmed, seeded and minced, or to taste"
5193,grated extra-sharp new york (about 1 cup)
5194,or rosemary
5195,chopped (canned are fine)
5196,"or neutral oil, like corn or canola"
5197,"yellow, peeled, trimmed, halved lengthwise, thinly sliced (about 4 1/2 cups)"
5198,"small fresh white or cremini, the smaller the better, or 1 pound larger mushrooms, quartered"
5199,"large, cored and cut in thin slivers"
5200,"extra-virgin, or more, to taste"
5201,grated fresh zest
5202,"medium (about 40), peeled and deveined"
5203,whole or or 7 ounces ready-cut chopped peppers (1 to 1 1/2 cups)
5204,"medium-large ripe, coarsely chopped"
5205,"imported in brine, pitted, french, greek or italian"
5206,to taste (approximately 1/4 teaspoon)
5207,"medium-size red, yellow or orange, chopped"
5208,stock
5209,about 1 cup
5210,"walnut, hazelnut or olive"
5211,chili powder to taste
5212,cut into serving pieces (legs and thighs should be severed at the joint)
5213,cut into bite-size cubes
5214,"sweet, plus extra for garnish"
5215,"hot, plus extra for garnish"
5216,1 28-ounce can no-salt-added crushed
5217,dried split yellow mung beans
5218,"fresh, unblemished small"
5219,about 2 pounds (or 4 8-ounce pork chops)
5220,separated into cloves and peeled
5221,dissolved in 1/4 cup cold water
5222,dissolved in cold
5223,"trimmed, peeled and cut in 1 1/2-inch pieces, about 2 cups"
5224,skinned and boned
5225,fresh ground
5226,"broth, canned or fresh"
5227,peeled and cut crosswise three times
5228,"trimmed, peeled and cut in 1 1/2 inch pieces, about 2 cups"
5229,"1 2 1/2-pound, cut up, backbone and wing tips reserved for broth"
5230,"minced, cilantro or dill for garnish, optional"
5231,(preferred) or olive oil
5232,or other mild white fish
5233,(from at least 1 1/2 pounds tangerines) and zest of the fruit
5234,canned or fresh
5235,"sliced thin, optional"
5236,"cooked medium-size, peeled and deveined"
5237,chops
5238,"fresh, washed and well dried"
5239,"fresh or dried or other chili, to taste"
5240,"plain, whole-milk"
5241,"fresh, about 1 inch long, peeled and roughly chopped"
5242,such as pinot grigio
5243,for garnish (optional)
5244,"yellow, peeled, trimmed, halved lengthwise and thinly sliced"
5245,16 tablespoons
5246,minced fresh or any fresh herb of your choice
5247,ground freshly
5248,"about 4 cups, cleaned (your fish market can do this)"
5249,sufficient in quantity to fill the fryer (check manufacturer's instructions)
5250,"all-purpose, peeled and cut into 1/2-inch cubes"
5251,"medium-size sweet, peeled and cut into 1/2-inch cubes"
5252,"medium-size, rinsed and separated into white and green portions, both minced"
5253,1 2 1/2-pound
5254,"thick-sliced, cut into 1/2-inch pieces"
5255,cut into 1/2-inch strips
5256,"all-purpose, peeled and grated, about 2 cups"
5257,red bliss unpeeled and quartered
5258,plus more for serving
5259,preferably organic
5260,texmati or basmati
5261,chopped red or yellow
5262,"if available, or evaporated milk"
5263,"boneless, about 1 1/4 pounds"
5264,"fresh, if available, or 1/2 teaspoon dried"
5265,fresh or fruit of the season
5266,or 2 yolks
5267,"stems fresh, chopped"
5268,big ripe
5269,"fresh, washed and dried"
5270,butterfly-shaped (bow-tie)
5271,"butterflied, 4 to 5 pounds"
5272,"dried, or 2 tablespoons to 1/4 cup fresh rosemary, snipped, plus sprigs for garnish"
5273,low-sodium
5274,rice wine
5275,soybean paste
5276,"small japanese - the long, slender, pale purple kind"
5277,chopped italian flat-leaf
5278,"fresh, seeded and chopped"
5279,pitted and quartered
5280,"washed, patted dry and chopped"
5281,in salt
5282,2 one-pound cans of italian in heavy puree
5283,"large, peeled and cut into 1/2-inch-thick slices"
5284,"8-inch-long, peeled and cut into 1/2-inch-thick slices"
5285,one-inch
5286,tops
5287,a squash available in specialty stores and some su-permarkets
5288,"medium-size, ends trimmed"
5289,"long, thin japanese, ends trimmed"
5290,"fresh, or 2 teaspoons dried"
5291,"peeled, cored and coarsely chopped"
5292,"green, peeled, cored, seeded and coarsely chopped"
5293,"black, oil-cured, pitted and quartered"
5294,coarse salt
5295,"roasted, peeled and finely chopped"
5296,"navel, peeled, each section cut into 3 pieces crosswise"
5297,"medium red, peeled and coarsely chopped"
5298,"medium seeded, deveined and finely chopped"
5299,"large, roasted, seeded, deveined, peeled and coarsely chopped"
5300,"medium, peeled and seeded"
5301,"3 pounds, peeled, cored and cut into 1/4-inch dice"
5302,"medium, peeled, seeded, cut into 1/4-inch dice"
5303,"small thai, seeded, deveined and minced"
5304,"fresh shiitake or other wild, cleaned and diced"
5305,"large, roasted, peeled, seeded and diced"
5306,"roasted, peeled and coarsely chopped"
5307,"peeled, seeded, cut in 1/4-inch cubes"
5308,"honeydew, peeled, seeded, cut in 1/4-inch cubes"
5309,"medium fresh, seeded, deveined and minced"
5310,"thai, available at specialty stores"
5311,like tabasco
5312,"dry-roasted, unsalted, coarsely chopped"
5313,strips
5314,"cored, seeded and julienned"
5315,"peeled, diced, or 1 cup canned crushed tomatoes"
5316,"skinless, boneless, halved, about 1 1/4 pounds"
5317,tips from (optional)
5318,"mashed purple peruvian seasoned with butter, salt and pepper"
5319,"or peaches, peeled, or 8 or 9 apricots or 5 cups frozen sliced peaches"
5320,whole or 1 1/2 cups graham-cracker crumbs
5321,"1 16-ounce package fresh or frozen blanched, shelled (edamame)"
5322,"wild-boar or other lean seasoned with fennel or garlic and parsley, removed from casings"
5323,"portobello or other, coarsely chopped"
5324,"assorted dried whole or powdered california and mexican like anchos (dried poblanos), moritas (smoked serranos), habaneros"
5325,"trimmed, cut crosswise in half"
5326,"seeded, sliced into thin rings"
5327,"maui, vidalia or other sweet, coarsely chopped"
5328,"large (3 to 4 carrots), peeled"
5329,peeled and sliced 1/2-inch thick
5330,thai (nuocmam)
5331,unsweetened canned
5332,or peanut oil or vegetable oil
5333,"1 yellow summer, about 1 pound, ends trimmed"
5334,"about 1 pound, ends trimmed"
5335,"very ripe red, about 1 pound, cored"
5336,"fresh, broken into 1/2-inch lengths"
5337,large seedless (about 8 ounces each)
5338,preferably with raisins
5339,or other orange-flavored liqueur (optional)
5340,about 6 ounces each (2 1/2 pounds)
5341,torn into 1/2-inch pieces
5342,"loose, turnip or chard greens, or spinach (about 5 ounces), cut into 1-inch pieces"
5343,"light, 8 cups water with 3 chicken bouillon cubes or 8 cups water"
5344,"(12 ounces), peeled and cut into 1/2-inch pieces (2 cups)"
5345,"to taste (about 2 teaspoons, but more or less depending on the saltiness of the liquid used)"
5346,"(8 ounces), cut into 2-inch pieces and washed (6 cups)"
5347,"6 ounces, peeled and cut into 1/2-inch pieces (1 cup"
5348,"(8 ounces), peeled and cut into 1/2-inch pieces (2 cups)"
5349,peeled and cut into 1/2-inch pieces (4 cups)
5350,hot to taste
5351,"chopped, seeded"
5352,"about 3 pounds, cut up"
5353,canned whole with liquid
5354,1 6-ounce can tomato
5355,1 28-ounce can
5356,"whole or 12 ounces julienned, ready-cut peppers (3 cups)"
5357,"flat, drained and cut in small pieces (optional)"
5358,freshly grated imported italian
5359,"whole or 7 ounces julienned, ready-cut onion (1 2/3 cups)"
5360,commercial or liquid egg product (see note) (optional)
5361,stale white
5362,or sour cream (optional)
5363,"diced ( 1/2 inch) dried (raisins, apricots, figs, cherries)"
5364,long-grain white
5365,"whole, low-fat or"
5366,or peanut oil
5367,yolks (optional)
5368,"french-style, preferably left over, cut into 1/4-inch slices"
5369,peeled and sliced thin (8 cups)
5370,"peeled, crushed and chopped fine (2 tablespoons)"
5371,"goose or duck, or 4 tablespoons peanut oil and 2 tablespoons unsalted butter"
5372,"medium boiling, peeled and diced"
5373,chopped (white part only)
5374,plain fat-free
5375,very finely minced fresh
5376,"medium, about 1 pound, peeled and cubed"
5377,"sliced into thin rounds, including some green"
5378,"1 10-ounce box frozen, thawed"
5379,"new, unpeeled"
5380,yogurt or heavy cream
5381,"hard-cooked, peeled and chopped"
5382,"trimmed and cut in thin rounds, including some green"
5383,"boiling, scrubbed but not peeled"
5384,"minced, including some leaves"
5385,"boiling or new potatoes, scrubbed and unpeeled"
5386,"cut in thin slices, including some of the green"
5387,diced with some juice from the jar
5388,"chopped fresh, like parsley and chives"
5389,"trimmed and cut into thin slices, including some of the green"
5390,chopped fresh italian or chervil
5391,"or 1/2 teaspoon each dried thyme, savory, basil and marjoram"
5392,"scrubbed, beards removed"
5393,"hard-cooked, peeled and cut into small chunks"
5394,"small new or purple, scrubbed but not peeled"
5395,seeded and diced (optional)
5396,"sliced, cut on the diagonal"
5397,"trimmed and sliced into thin rounds, including most of the green"
5398,grilled
5399,scrubbed but not peeled
5400,"small, grated or minced"
5401,1 4-ounce
5402,"instant, slightly crushed"
5403,to yield 2 teaspoons chopped
5404,"fresh sprigs, enough to yield 1 teaspoon thyme leaves"
5405,"like fusilli or penne (fresh, if possible)"
5406,oil-cured like moroccan or italian
5407,medium-large ripe
5408,"whole or 7 ounces chopped, cut onion (1 1/2 cups)"
5409,"stems trimmed to 1 inch from beginning of leaves, to yield about 2 packed cups leaves"
5410,or more if desired
5411,"excellent, plus additional for garnish"
5412,"medium, peeled and cut into 1/4-inch dice"
5413,fresh ground
5414,"pureed, cooked"
5415,"whites, separated"
5416,1/4 inch
5417,"small, peeled, sliced paper thin"
5418,"whole, about 3 3/4 to 4 pounds"
5419,"small, rinsed, trimmed, split lengthwise, white parts only"
5420,"small, peeled, cut into 2-inch pieces, split lengthwise"
5421,1/4-inch wide fresh
5422,"rinsed, thinly sliced crosswise"
5423,rinsed and diced
5424,"large, rinsed, thinly sliced"
5425,"thinly sliced, or 2 tablespoons grated ginger"
5426,steamed
5427,3 1/2 to 4 pounds
5428,"fresh, hulled"
5429,"small, peeled, cut into 2-inch pieces"
5430,peeled twice
5431,"new, scrubbed, cut into quarters"
5432,"roasted, peeled, smashed into a paste"
5433,"1 tablespoon melted, plus 1 tablespoon to grease tin"
5434,"king fillet, skinned, pin bones removed"
5435,"peeled, halved lengthwise and sliced 1/4-inch thick"
5436,"or minced jalapeo to taste, optional"
5437,"2-inch fresh, peeled and minced"
5438,"medium or other mild green fresh chilies, optional, preferably roasted and skinned"
5439,envelope unflavored
5440,"husked, rinsed and chopped (or use 1 1/2 cups tomatillos and 1/2 cup cored and chopped ripe or green tomatoes)"
5441,gently packed small
5442,or nonstick spray
5443,cut into matchsticks
5444,grated shepherd's basket or pecorino
5445,"minced, or 1 tablespoon lemon juice"
5446,or oil or a combination
5447,"shoot spring or 3 to 4 cloves, minced"
5448,"shoots spring or 4 shallots, minced"
5449,in their pods
5450,"softly whipped or crème fraîche, optional, for serving"
5451,"with pits, or 12 ounces pitted"
5452,"extra-virgin, optional"
5453,1 10-ounce package frozen
5454,"thinly sliced, rolled up and cut in 1/4-inch-wide strips"
5455,grated; more as needed
5456,preferably from navarre
5457,"baby, rinsed and thoroughly dried"
5458,chopped basil or oregano
5459,for brushing
5460,"wedges, for garnish"
5461,"skinless chicken and thighs, rinsed and patted dry"
5462,"inch-long, peeled and sliced into coins"
5463,"small, peeled and cut into chunks"
5464,"1 7 1/2-pound butterflied, well trimmed"
5465,"mixed chopped fresh, such as sage, thyme, basil and parsley"
5466,grated zest and freshly squeezed juice of
5467,"stemmed, and seeded if desired"
5468,"grape or cherry, halved if large"
5469,leaves chopped
5470,"large, very thick, like brioche or challah, preferably stale, cut in half, or 4 smaller slices"
5471,"warmed or honey, optional"
5472,"1 2-pound tenderloin, trimmed, rinsed and patted dry"
5473,passed through a garlic press
5474,"spanish, halved lengthwise and sliced"
5475,"large, halved lengthwise and sliced"
5476,"8-inch, sliced about 1/4 inch thick"
5477,"(uncured) chorizo, pricked all over with a fork"
5478,sherry
5479,more as needed for frying
5480,part-skim
5481,"finely chopped, plus sprigs for garnish"
5482,"12-inch length of, 2 1/2 to 3 inches diameter"
5483,2 16-ounce cans
5484,"sweet, cored, seeded and diced"
5485,richly flavored extra-virgin
5486,cored
5487,"ripe haas, peeled and diced"
5488,"cored, seeded and minced"
5489,plain nonfat
5490,"large, peeled, seeded and chopped coarse"
5491,"chopped fresh, plus sprigs for garnish"
5492,fine (see note)
5493,ripe medium
5494,oil-cured black
5495,powdered japanese green tea
5496,japanese rice wine
5497,"fresh, peeled"
5498,tied in a square of cheesecloth
5499,"small, about 1 pound, cut into 1/2-inch cubes"
5500,tender fresh
5501,shaved paper thin
5502,"whole skinless, boneless, about 3/4 pound each"
5503,"assorted, cut into 1/4-inch slices"
5504,anson mills coarse yellow or white
5505,"large (about 2 pounds), peeled and deveined; leave the tails on"
5506,"medium, peeled (or use 2 cups carrot juice), plus 1 carrot, finely julienned, for garnish"
5507,diced fresh
5508,"large (granny smith or pippin), peeled, cored and chopped"
5509,"dried chipotle, stemmed and seeded"
5510,"dried, stemmed and seeded"
5511,"dried new mexican or guajillo (or use twice the given amount of ancho chilies, below), stemmed and seeded"
5512,granulated or powdered
5513,"boneless, skinless halves (about 3each) at room temperature"
5514,extra-firm or
5515,"cut in half lengthwise and sliced crosswise, 1/4 inch thick"
5516,"red or green, cored and cut into 1-inch pieces"
5517,"cooked or two 15 1/2-ounce cans, drained"
5518,"peeled, chopped fresh mixed with 2 tablespoons tomato paste or 1 1/2 cups canned italian-style plum in puree"
5519,"medium, cut into 1-inch pieces"
5520,chopped (coriander)
5521,"very ripe, soft but not mushy (with blackened skins)"
5522,juice from medium-size
5523,"small, jalapeno or serrano peppers, seeded and minced"
5524,8 six-ounce steaks
5525,or 1 tablespoon turmeric
5526,"medium-size, coarsely diced"
5527,"4 8-ounce skinless, boneless"
5528,"jalapeno or serrano pepper, seeded and minced"
5529,"large ripe, pitted and cut into chunks"
5530,freshly ground (optional) to taste
5531,grainy
5532,fresh lump
5533,"(2 sticks), at room temperature"
5534,"chopped, for garnish"
5535,"plum, diced"
5536,"2 16-ounce cans cannellini, drained, or 2 cups mixed baby potatoes, onions and carrots, steamed or sauteed until tender, optional"
5537,large or 8 small
5538,"fine dry, more for sprinkling"
5539,"veal, beef or chicken"
5540,16-by-22-inch
5541,"large granny smith, peeled, cored and thinly sliced"
5542,golden seedless
5543,homemade or canned beef broth
5544,1 4- to 5-pound eye round of
5545,to yield 4 tablespoons chopped
5546,reduced-fat (4 slices about 1/8 inch thick)
5547,"to yield 1/2 cup finely chopped, reserving leftovers for future use"
5548,ripe (if possible one red and one yellow)
5549,large to yield 1/2 finely chopped
5550,about 1 very large
5551,"small new, scrubbed and boiled"
5552,vegetable or chicken stock or broth
5553,"braising (like swiss chard, kale), washed, trimmed of tough stems"
5554,thinly sliced (6 cups)
5555,chopped flatleaf
5556,or lemon mayonnaise (below)
5557,see micro-tips
5558,"(2 large potatoes), peeled and cut into 1/4-inch cubes"
5559,about 1#3 gram
5560,thinly sliced across (about 1 cup)
5561,"sperling or small smelts, cleaned (removing the heads, if desired) and dried (see note)"
5562,medium-hot
5563,chopped (about 1/2 large onion)
5564,"dry, about 2 ounces, broken across into 1-inch pieces"
5565,"littleneck (about 1 pound), scrubbed"
5566,scrubbed and debearded
5567,"canned, drained and rinsed"
5568,"cleaned, bodies sliced into rings, tentacles quartered, or 1/2 pound bay scallops"
5569,shucked in their liquid
5570,cut into 1/4- by 1/4- by 1/2-inch pieces
5571,"stemmed, washed and cut into 1-inch slices"
5572,"1 3/4-pound, cut into four pieces"
5573,"peeled and sliced 1/4-inch thick, about 5 cups"
5574,"filleted, with heads and bones cut into 2-inch pieces"
5575,for brushing pan
5576,cold-pressed
5577,toasted
5578,"medium japanese, halved lengthwise"
5579,kosher or sea to taste
5580,cut into small pieces and chilled
5581,2 live 1 1/2- to 2-pound
5582,"soft-shell, cleaned"
5583,finely chopped (green part only)
5584,"medium-size, seeded, cored and diced"
5585,"uncle ben's or long grain rice, rinsed until water runs clear"
5586,cooked (gandules); canned or frozen can be used
5587,leftover scraps of
5588,shelled and cooked
5589,"small yukon gold, peeled and boiled"
5590,"cleaned, cut in half lengthwise and poached"
5591,"18-inch, peeled, cooked and sliced into 1/2-inch rounds"
5592,"thin, trimmed, halved lengthwise and washed"
5593,cut into 3-inch pieces
5594,"white, crusts removed"
5595,or light olive oil
5596,or poussins
5597,duck or bacon fat
5598,"skinned (tetsuya uses ocean trout, not available here)"
5599,"whole or 14 ounces chopped, ready-cut peppers (4 cups)"
5600,enough fresh or frozen to yield grated
5601,scapes or garlic chives (optional)
5602,"chopped (optional, but also really good)"
5603,"small handful, chopped (optional, but really good)"
5604,shelled in the way life should be marinade (step 2 above)
5605,champagne
5606,large handfuls
5607,or spaghetti
5608,"small handful, chopped (optional)"
5609,6 1 1/4 -pound
5610,about 2 lemons
5611,gruyère or swiss cut in small cubes
5612,"boneless, skinless, about 6 ounces each"
5613,"boneless, about 1 pound"
5614,"extra virgin olive oil, or a combination"
5615,"lemon juice or calvados, optional"
5616,about 12
5617,"not-overly-ripe, or 3 peaches, skin removed and cut into 1/2-inch dice"
5618,dried or cayenne
5619,"olive or peanut, plus more as needed"
5620,"striped, red snapper, sea bass or grouper, in one or two fillets, preferably with skin"
5621,(about) chopped
5622,"low-fat, or more to taste"
5623,brewed kenyan
5624,"stemmed, washed and dried"
5625,"medium (about 1 1/2 pounds), peeled and thinly sliced"
5626,medium (about 1 1/2 pounds)
5627,"loosely packed, stemmed, washed and dried"
5628,wheat
5629,"finely chopped, to garnish"
5630,"slivered, toasted"
5631,"3/4 cooked, shredded (from about half a breast or 2 thighs)"
5632,"fig or blackberry, pear butter or any kind of marmalade, for serving (optional)"
5633,"diamond crystal kosher, plus more as needed"
5634,packed dark brown
5635,center cut
5636,"thyme, parsley and bay leaf tied in a cheesecloth bag"
5637,fresh (or one teaspoon dried)
5638,great northern
5639,cut into slivers
5640,fresh (or 1 teaspoon dried)
5641,"canned italian, with their juice, chopped"
5642,sawed into eight pieces 1 1/2 inches thick
5643,"coarsely grated, or pecorino romano"
5644,sheep's-milk
5645,nestle's semisweet
5646,plus more for dusting the pan
5647,"preferably tart berries, like cranberries, blackberries and currants"
5648,"white sandwich (should be soft and buttery, not dry)"
5649,vanilla
5650,for deep-fat frying
5651,beaten with 1 teaspoon water
5652,trimmed and cut into 1/2-inch thick slices
5653,"rinsed, muscle removed and each sliced horizontally into 3 thin rounds"
5654,"stemmed and cut in half, plus 12 strawberries, stemmed and cut lengthwise into quarters"
5655,cut into small dice
5656,tail and claws separated from the body by your fish store within a few hours of using
5657,"peeled, cut into 3/4-inch chunks, boiled until tender, drained and passed through a ricer"
5658,(4 to 6 limes)
5659,"(any kind, or a mixture), trimmed and cut into 1-inch chunks"
5660,crumbled (about 2/3 cup)
5661,"mixed, seeded and cut into 1-inch pieces"
5662,"plus more, to taste"
5663,sweet hungarian
5664,"fresh ground, plus more, to taste"
5665,"large, peeled and chopped fine"
5666,"fresh cleaned, tentacles separated from body"
5667,"medium cleaned, about 2 to 4 pounds, preferably fresh"
5668,"spanish, peeled and diced"
5669,1/4 cup chopped
5670,1/2 cup chopped
5671,of (1/2 cup grated jicama)
5672,minced for garnish
5673,"peeled, or 3 pounds head-on shrimp, left unpeeled"
5674,"crushed, or to taste"
5675,chopped pitted mixed (minot also added shiitake and bella mushrooms)
5676,"or other tangy greens, like watercress or arugula, for garnish"
5677,"chopped, roasted unsalted for garnish"
5678,"chopped, and additional for garnish"
5679,"small, peeled and cut into 1-inch pieces"
